market_listing_price,market_listing_price 2,market_listing_right_cell,market_listing_item_name_link,market_listing_game_name,market_listing_listed_date_combined,,,,,
0.05,0.03,22-Jan,Miller,Deus Ex: Mankind Divided™ Trading Card,Listed: 22 Jan,,,,average price,0.039723502
0.05,0.03,22-Jan,Rucker,Deus Ex: Mankind Divided™ Trading Card,Listed: 22 Jan,,,,,
0.05,0.03,22-Jan,Sarif  Trading Card ,Deus Ex: Mankind Divided™ Trading Card,Listed: 22 Jan,,,,,
0.05,0.03,22-Jan,Vega  Trading Card ,Deus Ex: Mankind Divided™ Trading Card,Listed: 22 Jan,,,,cards/dollar,35.2
0.05,0.03,22-Jan,Griffin,Dragon's Dogma: Dark Arisen Trading Card,Listed: 22 Jan,,,,cards/dollar,54.3
0.04,0.02,25-Jan,Defensive Midfielder,Football Manager 2019 Trading Card,Listed: 25 Jan,,,,,
0.04,0.02,25-Jan,Defensive Winger,Football Manager 2019 Trading Card,Listed: 25 Jan,,,,,
0.04,0.02,25-Jan,Inside Forward,Football Manager 2019 Trading Card,Listed: 25 Jan,,,,,
0.04,0.02,25-Jan,Pressing Forward,Football Manager 2019 Trading Card,Listed: 25 Jan,,,,,
0.1,0.08,25-Jan,Pressing Forward  Foil ,Football Manager 2019 Foil Trading Card,Listed: 25 Jan,,,,,
0.05,0.03,25-Jan,Colors are overrated,SuchArt! Trading Card,Listed: 25 Jan,,,,,
0.05,0.03,25-Jan,Paint it with fire,SuchArt! Trading Card,Listed: 25 Jan,,,,,
0.08,0.06,15-Feb,forest monster,Creepy Tale Trading Card,Listed: 15 Feb,,,,,
0.05,0.03,15-Feb,BM-13 Katyusha Rocket Truck,Company of Heroes 2 Trading Card,Listed: 15 Feb,,,,,
0.05,0.03,15-Feb,T34-76 Medium Tank,Company of Heroes 2 Trading Card,Listed: 15 Feb,,,,,
0.05,0.03,15-Feb,Eliza,Skullgirls 2nd Encore Trading Card,Listed: 15 Feb,,,,,
0.05,0.03,15-Feb,Parasoul,Skullgirls 2nd Encore Trading Card,Listed: 15 Feb,,,,,
0.08,0.06,15-Feb,Wisp  Trading Card ,Risk of Rain Trading Card,Listed: 15 Feb,,,,,
0.07,0.05,15-Feb,A small cabin,Knock-knock Trading Card,Listed: 15 Feb,,,,,
